algs,dataset,weighted,optimized,accuracy,precision,recall,fscore,cv_mean,cv_std,runtime
(svm_mnb_mlp),autism,False,False,0.97,0.98,0.94,0.96,0.98,0.01,0.35
(svm_rf_mlp)_w_opt,autism,True,True,1.00,1.00,1.00,1.00,0.98,0.02,1.80
(svm_rf_mlp)_opt,autism,False,True,1.00,1.00,1.00,1.00,0.98,0.01,0.89
(svm_rf_mlp)_w,autism,True,False,0.99,0.98,0.98,0.98,0.98,0.01,1.12
(svm_rf_mlp),autism,False,False,1.00,1.00,1.00,1.00,0.98,0.01,0.42
(knn_mnb_rf)_w_opt,autism,True,True,0.94,0.93,0.91,0.92,0.98,0.01,0.84
(knn_mnb_rf)_opt,autism,False,True,0.99,1.00,0.99,0.99,0.98,0.01,0.65
(knn_mnb_rf)_w,autism,True,False,0.99,1.00,0.98,0.99,0.98,0.01,0.17
(knn_mnb_rf),autism,False,False,0.97,0.97,0.96,0.97,0.98,0.01,0.12
(knn_mnb_mlp)_w_opt,autism,True,True,0.98,0.96,0.99,0.97,0.98,0.01,1.07
(knn_mnb_mlp)_opt,autism,False,True,0.98,0.96,0.99,0.97,0.98,0.01,0.45
(knn_mnb_mlp)_w,autism,True,False,0.95,0.95,0.93,0.94,0.98,0.01,1.08
(knn_mnb_mlp),autism,False,False,0.97,0.98,0.95,0.96,0.98,0.01,0.38
(knn_rf_mlp)_w_opt,autism,True,True,0.99,0.99,0.99,0.99,0.98,0.01,1.89
(knn_rf_mlp)_opt,autism,False,True,0.98,0.97,0.98,0.97,0.98,0.01,0.92
(knn_rf_mlp)_w,autism,True,False,1.00,1.00,1.00,1.00,0.98,0.01,1.23
(knn_rf_mlp),autism,False,False,0.99,0.97,0.99,0.98,0.98,0.01,0.44
(mnb_rf_mlp)_w_opt,autism,True,True,1.00,1.00,1.00,1.00,0.98,0.01,1.78
(mnb_rf_mlp)_opt,autism,False,True,1.00,1.00,1.00,1.00,0.98,0.01,0.88
(mnb_rf_mlp)_w,autism,True,False,0.99,0.99,1.00,0.99,0.98,0.01,1.12
(mnb_rf_mlp),autism,False,False,0.99,0.98,0.98,0.98,0.97,0.01,0.45
(svm_knn_mnb_rf_mlp)_w_opt,autism,True,True,1.00,1.00,1.00,1.00,0.98,0.01,2.00
(svm_knn_mnb_rf_mlp)_opt,autism,False,True,0.99,0.99,0.99,0.99,0.98,0.01,1.17
